array,label,row,col,x,y,Power_uW,crop_file
289 35 CA,B02,1,2,460,511,41.867,289 35 CA\B2_41.867uW.png
289 35 CA,O01,1,14,2667,377,11.008,289 35 CA\O1_11.008uW.png
289 35 CA,R02,1,17,3180,466,35.215,289 35 CA\R2_35.215uW.png
289 35 CA,U01,1,20,3688,359,35.506,289 35 CA\U1_35.506uW.png
289 35 CA,X02,1,23,4200,447,3.663,289 35 CA\X2_3.663uW.png
289 35 CA,B04,2,2,463,708,34.855,289 35 CA\B4_34.855uW.png
289 35 CA,X06,3,23,4207,839,0.838,289 35 CA\X6_0.838uW.png
289 35 CA,E07,4,5,979,993,32.954,289 35 CA\E7_32.954uW.png
289 35 CA,G07,4,7,1319,987,40.971,289 35 CA\G7_40.971uW.png
289 35 CA,G09,5,7,1322,1183,31.406,289 35 CA\G9_31.406uW.png
289 35 CA,P10,5,15,2853,1256,3.014,289 35 CA\P10_3.014uW.png
289 35 CA,A11,6,1,306,1397,34.148,289 35 CA\A11_34.148uW.png
289 35 CA,G11,6,7,1325,1379,35.161,289 35 CA\G11_35.161uW.png
289 35 CA,I11,6,9,1666,1391,3.666,289 35 CA\I11_3.666uW.png
289 35 CA,V12,6,21,3875,1434,39.314,289 35 CA\V12_39.314uW.png
289 35 CA,F14,7,6,1157,1665,35.393,289 35 CA\F14_35.393uW.png
289 35 CA,K13,7,11,2008,1563,35.803,289 35 CA\K13_35.803uW.png
289 35 CA,O13,7,14,2687,1552,2.279,289 35 CA\O13_2.279uW.png
289 35 CA,R14,7,17,3198,1641,7.968,289 35 CA\R14_7.968uW.png
289 35 CA,Y13,7,24,4388,1524,36.185,289 35 CA\Y13_36.185uW.png
289 35 CA,C19,9,3,660,2193,14.266,289 35 CA\C19_14.266uW.png
289 35 CA,K21,10,11,2021,2348,37.404,289 35 CA\K21_37.404uW.png
289 35 CA,P20,10,15,2871,2236,35.733,289 35 CA\P20_35.733uW.png
289 35 CA,S21,10,18,3381,2327,3.29,289 35 CA\S21_3.29uW.png
289 35 CA,V20,10,21,3890,2219,38.584,289 35 CA\V20_38.584uW.png
289 35 CA,A23,11,1,326,2574,32.41,289 35 CA\A23_32.41uW.png
289 35 CA,K23,11,11,2024,2544,36.999,289 35 CA\K23_36.999uW.png
289 35 CA,X22,11,23,4232,2410,37.265,289 35 CA\X22_37.265uW.png
289 35 CA,S25,12,18,3388,2718,0.01,289 35 CA\S25_0.01uW.png
289 35 CA,B26,13,2,499,2865,34.052,289 35 CA\B26_34.052uW.png
289 35 CA,W27,13,22,4073,2920,38.217,289 35 CA\W27_38.217uW.png
289 35 CA,L28,14,12,2200,3014,37.035,289 35 CA\L28_37.035uW.png
289 35 CA,B30,15,2,506,3258,40.989,289 35 CA\B30_40.989uW.png
289 35 CA,D30,15,4,846,3253,0.001,289 35 CA\D30_0.001uW.png
289 35 CA,K31,15,11,2037,3330,39.52,289 35 CA\K31_39.52uW.png
289 35 CA,W31,15,22,4079,3312,1.925,289 35 CA\W31_1.925uW.png
289 35 CA,J32,16,10,1869,3430,31.057,289 35 CA\J32_31.057uW.png
289 35 CA,O33,16,14,2721,3514,36.184,289 35 CA\O33_36.184uW.png
289 35 CA,S33,16,18,3402,3504,36.342,289 35 CA\S33_36.342uW.png
289 35 CA,U33,16,20,3741,3498,6.149,289 35 CA\U33_6.149uW.png
