array,label,row,col,x,y,Power_uW,crop_file
289 22 CB,E1,1,5,978,516,17.125,289 22 CB\E1_17.125uW.png
289 22 CB,K1,1,11,1998,493,13.285,289 22 CB\K1_13.285uW.png
289 22 CB,P2,1,15,2850,588,15.613,289 22 CB\P2_15.613uW.png
289 22 CB,R2,1,17,3188,578,18.025,289 22 CB\R2_18.025uW.png
289 22 CB,U1,1,20,3698,470,8.125,289 22 CB\U1_8.125uW.png
289 22 CB,X2,1,23,4206,561,27.302,289 22 CB\X2_27.302uW.png
289 22 CB,A3,2,1,301,729,4.947,289 22 CB\A3_4.947uW.png
289 22 CB,G3,2,7,1321,710,10.648,289 22 CB\G3_10.648uW.png
289 22 CB,C7,4,3,642,1120,7.956,289 22 CB\C7_7.956uW.png
289 22 CB,I7,4,9,1669,1102,17.496,289 22 CB\I7_17.496uW.png
289 22 CB,Q7,4,16,3026,1082,25.531,289 22 CB\Q7_25.531uW.png
289 22 CB,W7,4,22,4046,1066,35.585,289 22 CB\W7_35.585uW.png
289 22 CB,D12,6,4,828,1598,10.001,289 22 CB\D12_10.001uW.png
289 22 CB,X12,6,23,4227,1544,31.336,289 22 CB\X12_31.336uW.png
289 22 CB,G13,7,7,1339,1687,7.921,289 22 CB\G13_7.921uW.png
289 22 CB,K13,7,11,2015,1673,11.181,289 22 CB\K13_11.181uW.png
289 22 CB,O13,7,14,2695,1666,16.846,289 22 CB\O13_16.846uW.png
289 22 CB,R14,7,17,3208,1752,23.037,289 22 CB\R14_23.037uW.png
289 22 CB,U13,7,20,3717,1643,8.055,289 22 CB\U13_8.055uW.png
289 22 CB,C15,8,3,663,1904,11.528,289 22 CB\C15_11.528uW.png
289 22 CB,E21,10,5,1016,2474,7.046,289 22 CB\E21_7.046uW.png
289 22 CB,G21,10,7,1350,2477,11.586,289 22 CB\G21_11.586uW.png
289 22 CB,K21,10,11,2030,2460,9.468,289 22 CB\K21_9.468uW.png
289 22 CB,P20,10,15,2877,2349,12.989,289 22 CB\P20_12.989uW.png
289 22 CB,S21,10,18,3390,2441,18.93,289 22 CB\S21_18.93uW.png
289 22 CB,V20,10,21,3897,2331,12.423,289 22 CB\V20_12.423uW.png
289 22 CB,X20,10,23,4240,2329,11.408,289 22 CB\X20_11.408uW.png
289 22 CB,B22,11,2,504,2593,6.779,289 22 CB\B22_6.779uW.png
289 22 CB,C27,13,3,680,3080,43.451,289 22 CB\C27_43.451uW.png
289 22 CB,I27,13,9,1703,3062,43.934,289 22 CB\I27_43.934uW.png
289 22 CB,P26,13,15,2887,2933,18.552,289 22 CB\P26_18.552uW.png
289 22 CB,V28,14,21,3916,3117,13.75,289 22 CB\V28_13.75uW.png
289 22 CB,K31,15,11,2046,3441,14.871,289 22 CB\K31_14.871uW.png
289 22 CB,O31,15,14,2725,3427,9.586,289 22 CB\O31_9.586uW.png
289 22 CB,X30,15,23,4258,3305,15.487,289 22 CB\X30_15.487uW.png
289 22 CB,B32,16,2,524,3570,9.112,289 22 CB\B32_9.112uW.png
289 22 CB,E33,16,5,1026,3660,10.262,289 22 CB\E33_10.262uW.png
289 22 CB,G33,16,7,1371,3651,11.353,289 22 CB\G33_11.353uW.png
289 22 CB,S33,16,18,3410,3612,5.637,289 22 CB\S33_5.637uW.png
289 22 CB,V32,16,21,3916,3511,19.504,289 22 CB\V32_19.504uW.png
