array,label,row,col,x,y,Power_uW,crop_file
260 32 CA,B02,1,2,442,624,53.656,260 32 CA\B2_53.656uW.png
260 32 CA,E01,1,5,951,516,53.665,260 32 CA\E1_53.665uW.png
260 32 CA,G01,1,7,1292,510,53.539,260 32 CA\G1_53.539uW.png
260 32 CA,K01,1,11,1971,498,51.391,260 32 CA\K1_51.391uW.png
260 32 CA,O01,1,14,2651,486,52.966,260 32 CA\O1_52.966uW.png
260 32 CA,S01,1,18,3332,473,53.038,260 32 CA\S1_53.038uW.png
260 32 CA,U01,1,20,3672,467,54.023,260 32 CA\U1_54.023uW.png
260 32 CA,X02,1,23,4185,555,52.984,260 32 CA\X2_52.984uW.png
260 32 CA,C07,4,3,622,1130,53.736,260 32 CA\C7_53.736uW.png
260 32 CA,I07,4,9,1642,1109,51.91,260 32 CA\I7_51.91uW.png
260 32 CA,Q07,4,16,3004,1087,52.734,260 32 CA\Q7_52.734uW.png
260 32 CA,W07,4,22,4025,1069,53.315,260 32 CA\W7_53.315uW.png
260 32 CA,A13,7,1,293,1707,54.408,260 32 CA\A13_54.408uW.png
260 32 CA,E13,7,5,972,1694,54.649,260 32 CA\E13_54.649uW.png
260 32 CA,G13,7,7,1312,1687,53.36,260 32 CA\G13_53.36uW.png
260 32 CA,K13,7,11,1993,1675,52.832,260 32 CA\K13_52.832uW.png
260 32 CA,O13,7,14,2672,1663,54.587,260 32 CA\O13_54.587uW.png
260 32 CA,S13,7,18,3352,1651,53.593,260 32 CA\S13_53.593uW.png
260 32 CA,U13,7,20,3692,1645,52.277,260 32 CA\U13_52.277uW.png
260 32 CA,Y13,7,24,4373,1632,51.087,260 32 CA\Y13_51.087uW.png
260 32 CA,A21,10,1,307,2492,53.306,260 32 CA\A21_53.306uW.png
260 32 CA,E21,10,5,987,2479,54.569,260 32 CA\E21_54.569uW.png
260 32 CA,G21,10,7,1327,2472,53.333,260 32 CA\G21_53.333uW.png
260 32 CA,K21,10,11,2007,2460,53.468,260 32 CA\K21_53.468uW.png
260 32 CA,O21,10,14,2688,2448,52.116,260 32 CA\O21_52.116uW.png
260 32 CA,S21,10,18,3367,2436,54.354,260 32 CA\S21_54.354uW.png
260 32 CA,U21,10,20,3707,2430,53.074,260 32 CA\U21_53.074uW.png
260 32 CA,Y21,10,24,4388,2417,50.916,260 32 CA\Y21_50.916uW.png
260 32 CA,C27,13,3,658,3091,55.142,260 32 CA\C27_55.142uW.png
260 32 CA,I27,13,9,1678,3071,52.572,260 32 CA\I27_52.572uW.png
260 32 CA,Q27,13,16,3041,3048,53.423,260 32 CA\Q27_53.423uW.png
260 32 CA,W27,13,22,4060,3029,52.966,260 32 CA\W27_52.966uW.png
260 32 CA,C31,15,3,666,3483,54.166,260 32 CA\C31_54.166uW.png
260 32 CA,O31,15,14,2704,3429,52.859,260 32 CA\O31_52.859uW.png
260 32 CA,E33,16,5,1008,3657,53.074,260 32 CA\E33_53.074uW.png
260 32 CA,G33,16,7,1349,3651,53.235,260 32 CA\G33_53.235uW.png
260 32 CA,K33,16,11,2028,3638,52.25,260 32 CA\K33_52.25uW.png
260 32 CA,S33,16,18,3390,3615,52.743,260 32 CA\S33_52.743uW.png
260 32 CA,U33,16,20,3730,3608,52.08,260 32 CA\U33_52.08uW.png
260 32 CA,X32,16,23,4237,3501,53.611,260 32 CA\X32_53.611uW.png
